TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INOUT,SSC_ARRAY,hourly_energy,Hourly energy,kWh,,Time Series,*,
SSC_INOUT,SSC_ARRAY,e_load,Electric load,kWh,,Load Profile Estimator,,
SSC_INPUT,SSC_NUMBER,pv_lifetime_simulation,PV lifetime simulation,0/1,,,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,analysis_period,Lifetime analysis period,years,,,pv_lifetime_simulation=1,
SSC_INPUT,SSC_NUMBER,batt_dc_ac_efficiency,Battery DC to AC efficiency,,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_ac_dc_efficiency,Inverter AC to battery DC efficiency,,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_computed_strings,Number of strings of cells,,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_computed_series,Number of cells in series,,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_computed_bank_capacity,Computed bank capacity,kWh,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_chem,Battery chemistry,,"0=LeadAcid,1=LiIon",Battery,,
SSC_INPUT,SSC_NUMBER,batt_minimum_SOC,Minimum allowed state-of-charge,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_maximum_SOC,Minimum allowed state-of-charge,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_current_charge_max,Maximum charge current,A,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_current_discharge_max,Maximum discharge current,A,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_minimum_modetime,Minimum time at charge state,min,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Vfull,Fully charged cell voltage,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Vexp,Cell voltage at end of exponential zone,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Vnom,Cell voltage at end of nominal zone,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Vnom_default,Default nominal cell voltage,V,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Qfull,Fully charged cell capacity,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Qexp,Cell capacity at end of exponential zone,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Qnom,Cell capacity at end of nominal zone,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_C_rate,Rate at which voltage vs. capacity curve input,,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_resistance,Internal resistance,Ohm,,Battery,,
SSC_INPUT,SSC_NUMBER,LeadAcid_q20_computed,Capacity at 20-hour discharge rate,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,LeadAcid_q10_computed,Capacity at 10-hour discharge rate,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,LeadAcid_qn_computed,Capacity at discharge rate for n-hour rate,Ah,,Battery,,
SSC_INPUT,SSC_NUMBER,LeadAcid_tn,Time to discharge,h,,Battery,,
SSC_INPUT,SSC_MATRIX,batt_lifetime_matrix,Cycles vs capacity at different depths-of-discharge,,,Battery,,
