TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INPUT,SSC_STRING,solar_resource_file,"Weather file in TMY2, TMY3, EPW, or SAM CSV.",,,pvsamv1,?,
SSC_INPUT,SSC_TABLE,solar_resource_data,Weather data,,"lat,lon,tz,elev,year,month,hour,minute,gh,dn,df,tdry,twet,tdew,rhum,pres,snow,alb,aod,wspd,wdir",pvsamv1,?,
SSC_INPUT,SSC_NUMBER,pv_lifetime_simulation,PV lifetime simulation,0/1,,pvsamv1,?=0,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,analysis_period,Lifetime analysis period,years,,pvsamv1,pv_lifetime_simulation=1,
SSC_INPUT,SSC_ARRAY,dc_degradation,Annual module degradation,%/year,,pvsamv1,pv_lifetime_simulation=1,
SSC_OUTPUT,SSC_ARRAY,dc_degrade_factor,Annual module degrade factor,,,pvsamv1,pv_lifetime_simulation=1,
SSC_INPUT,SSC_NUMBER,en_snow_model,Toggle snow loss estimation,0/1,,snowmodel,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,system_capacity,Nameplate capacity,kW,,pvsamv1,*,
SSC_INPUT,SSC_NUMBER,use_wf_albedo,Use albedo in weather file if provided,0/1,,pvsamv1,?=1,BOOLEAN
SSC_INPUT,SSC_ARRAY,albedo,User specified ground albedo,0..1,,pvsamv1,*,LENGTH=12
SSC_INPUT,SSC_NUMBER,irrad_mode,Irradiance input translation mode,,"0=beam&diffuse,1=total&beam,2=total&diffuse,3=poa_reference,4=poa_pyranometer",pvsamv1,?=0,"INTEGER,MIN=0,MAX=4"
SSC_INPUT,SSC_NUMBER,sky_model,Diffuse sky model,,"0=isotropic,1=hkdr,2=perez",pvsamv1,?=2,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,modules_per_string,Modules per string,,,pvsamv1,*,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,strings_in_parallel,String in parallel,,,pvsamv1,*,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,inverter_count,Number of inverters,,,pvsamv1,*,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,enable_mismatch_vmax_calc,Enable mismatched subarray Vmax calculation,,,pvsamv1,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray1_tilt,Sub-array 1 Tilt,deg,"0=horizontal,90=vertical",pvsamv1,naof:subarray1_tilt_eq_lat,"MIN=0,MAX=90"
