TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INPUT,SSC_STRING,solar_resource_file,Weather file path,,,Weather,?,
SSC_INPUT,SSC_TABLE,solar_resource_data,Weather data,,"dn,df,tdry,wspd,lat,lon,tz",Weather,?,
SSC_INPUT,SSC_NUMBER,system_capacity,System size (DC nameplate),kW,,PVWatts,*,
SSC_INPUT,SSC_NUMBER,module_type,Module type,0/1/2,"Standard,Premium,Thin film",PVWatts,?=0,"MIN=0,MAX=2,INTEGER"
SSC_INPUT,SSC_NUMBER,dc_ac_ratio,DC to AC ratio,ratio,,PVWatts,?=1.1,POSITIVE
SSC_INPUT,SSC_NUMBER,inv_eff,Inverter efficiency at rated power,%,,PVWatts,?=96,"MIN=90,MAX=99.5"
SSC_INPUT,SSC_NUMBER,losses,System losses,%,Total system losses,PVWatts,*,"MIN=-5,MAX=99"
SSC_INPUT,SSC_NUMBER,array_type,Array type,0/1/2/3/4,"Fixed OR,Fixed Roof,1Axis,Backtracked,2Axis",PVWatts,*,"MIN=0,MAX=4,INTEGER"
SSC_INPUT,SSC_NUMBER,tilt,Tilt angle,deg,"H=0,V=90",PVWatts,*,"MIN=0,MAX=90"
SSC_INPUT,SSC_NUMBER,azimuth,Azimuth angle,deg,"E=90,S=180,W=270",PVWatts,*,"MIN=0,MAX=360"
SSC_INPUT,SSC_NUMBER,gcr,Ground coverage ratio,0..1,,PVWatts,?=0.4,"MIN=0,MAX=3"
SSC_INPUT,SSC_MATRIX,shading:timestep,Time step beam shading loss,%,,PVWatts,?,
SSC_INPUT,SSC_MATRIX,shading:mxh,Month x Hour beam shading loss,%,,PVWatts,?,
SSC_INPUT,SSC_MATRIX,shading:azal,Azimuth x altitude beam shading loss,%,,PVWatts,?,
SSC_INPUT,SSC_NUMBER,shading:diff,Diffuse shading loss,%,,PVWatts,?,
SSC_OUTPUT,SSC_ARRAY,gh,Global horizontal irradiance,W/m2,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,dn,Beam irradiance,W/m2,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,df,Diffuse irradiance,W/m2,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,tamb,Ambient temperature,C,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,wspd,Wind speed,m/s,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,sunup,Sun up over horizon,0/1,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,shad_beam_factor,Shading factor for beam radiation,,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,aoi,Angle of incidence,deg,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,poa,Plane of array irradiance,W/m2,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,tpoa,Transmitted plane of array irradiance,W/m2,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,tcell,Module temperature,C,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,dc,DC array power,W,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,ac,AC inverter power,W,,Time Series,*,
SSC_OUTPUT,SSC_ARRAY,poa_monthly,Plane of array irradiance,kWh/m2,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,solrad_monthly,Daily average solar irradiance,kWh/m2/day,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,dc_monthly,DC array output,kWh,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,ac_monthly,AC system output,kWh,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,monthly_energy,Monthly energy,kWh,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_NUMBER,solrad_annual,Daily average solar irradiance,kWh/m2/day,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,ac_annual,Annual AC system output,kWh,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,annual_energy,Annual energy,kWh,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,capacity_factor,Capacity factor,%,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,kwh_per_kw,First year kWh/kW,,,Annual,*,
SSC_OUTPUT,SSC_STRING,location,Location ID,,,Location,*,
SSC_OUTPUT,SSC_STRING,city,City,,,Location,*,
SSC_OUTPUT,SSC_STRING,state,State,,,Location,*,
SSC_OUTPUT,SSC_NUMBER,lat,Latitude,deg,,Location,*,
SSC_OUTPUT,SSC_NUMBER,lon,Longitude,deg,,Location,*,
SSC_OUTPUT,SSC_NUMBER,tz,Time zone,hr,,Location,*,
SSC_OUTPUT,SSC_NUMBER,elev,Site elevation,m,,Location,*,
SSC_OUTPUT,SSC_NUMBER,system_use_lifetime_output,Use lifetime output,0/1,,Miscellaneous,*,INTEGER
SSC_OUTPUT,SSC_NUMBER,ts_shift_hours,Time offset for interpreting time series outputs,hours,,Miscellaneous,*,
SSC_INPUT,SSC_NUMBER,adjust:constant,Constant loss adjustment,%,,Loss Adjustments,*,MAX=100
SSC_INPUT,SSC_ARRAY,adjust:hourly,Hourly loss adjustments,%,,Loss Adjustments,?,LENGTH=8760
SSC_INPUT,SSC_MATRIX,adjust:periods,Period-based loss adjustments,%,"n x 3 matrix [ start, end, loss ]",Loss Adjustments,?,COLS=3
SSC_OUTPUT,SSC_ARRAY,gen,Power generated by system,kW,,Time Series,*,
