TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INPUT,SSC_STRING,wind_resource_filename,local wind data file path,,,WindPower,?,LOCAL_FILE
SSC_INPUT,SSC_TABLE,wind_resource_data,wind resouce data in memory,,,WindPower,?,
SSC_INPUT,SSC_NUMBER,wind_resource_shear,Shear exponent,,,WindPower,*,
SSC_INPUT,SSC_NUMBER,wind_resource_turbulence_coeff,Turbulence coefficient,%,,WindPower,*,
SSC_INPUT,SSC_NUMBER,system_capacity,Nameplate capacity,kW,,WindPower,*,
SSC_INPUT,SSC_NUMBER,wind_resource_model_choice,Hourly or Weibull model,0/1,,WindPower,*,INTEGER
SSC_INPUT,SSC_NUMBER,wind_characteristics_weibullK,Weibull K factor for wind resource,,,WindPower,wind_resource_model_choice=1,
SSC_INPUT,SSC_NUMBER,wind_characteristics_class,Wind Resource Class,,,WindPower,wind_resource_model_choice=1,
SSC_INPUT,SSC_NUMBER,wind_turbine_rotor_diameter,Rotor diameter,m,,WindPower,*,
SSC_INPUT,SSC_ARRAY,wind_turbine_powercurve_windspeeds,Power curve wind speed array,m/s,,WindPower,*,
SSC_INPUT,SSC_ARRAY,wind_turbine_powercurve_powerout,Power curve turbine output array,kW,,WindPower,*,LENGTH_EQUAL=wind_turbine_powercurve_windspeeds
SSC_INPUT,SSC_NUMBER,wind_turbine_cutin,Cut-in wind speed,m/s,,WindPower,*,
SSC_INPUT,SSC_NUMBER,wind_turbine_hub_ht,Hub height,m,,WindPower,*,
SSC_INPUT,SSC_NUMBER,wind_turbine_max_cp,Max cp,,,WindPower,wind_resource_model_choice=1,
SSC_INPUT,SSC_ARRAY,wind_farm_xCoordinates,Turbine X coordinates,m,,WindPower,*,
SSC_INPUT,SSC_ARRAY,wind_farm_yCoordinates,Turbine Y coordinates,m,,WindPower,*,LENGTH_EQUAL=wind_farm_xCoordinates
SSC_INPUT,SSC_NUMBER,wind_farm_losses_percent,Percentage losses,%,,WindPower,*,
SSC_INPUT,SSC_NUMBER,wind_farm_wake_model,Wake Model,0/1/2,,WindPower,*,INTEGER
SSC_OUTPUT,SSC_ARRAY,turbine_output_by_windspeed_bin,Turbine output,kW,,Power Curve,*,LENGTH_EQUAL=wind_turbine_powercurve_windspeeds
SSC_OUTPUT,SSC_ARRAY,hourly_wind_direction,Wind direction,deg,,Time Series,*,LENGTH=8760
SSC_OUTPUT,SSC_ARRAY,hourly_wind_speed,Wind speed,m/s,,Time Series,*,LENGTH=8760
SSC_OUTPUT,SSC_ARRAY,hourly_temp,Air temperature,'C,,Time Series,*,LENGTH=8760
SSC_OUTPUT,SSC_ARRAY,hourly_pressure,Pressure,atm,,Time Series,*,LENGTH=8760
SSC_OUTPUT,SSC_ARRAY,monthly_energy,Monthly Energy,kWh,,Monthly,*,LENGTH=12
SSC_OUTPUT,SSC_NUMBER,annual_energy,Annual Energy,kWh,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,capacity_factor,Capacity factor,%,,Annual,*,
SSC_OUTPUT,SSC_NUMBER,kwh_per_kw,First year kWh/kW,kWh/kW,,Annual,*,
SSC_INPUT,SSC_NUMBER,adjust:constant,Constant loss adjustment,%,,Loss Adjustments,*,MAX=100
SSC_INPUT,SSC_ARRAY,adjust:hourly,Hourly loss adjustments,%,,Loss Adjustments,?,LENGTH=8760
SSC_INPUT,SSC_MATRIX,adjust:periods,Period-based loss adjustments,%,"n x 3 matrix [ start, end, loss ]",Loss Adjustments,?,COLS=3
SSC_OUTPUT,SSC_ARRAY,gen,Power generated by system,kW,,Time Series,*,
